,chw_supply_temp,chw_return_temp,cw_supply_temp,cw_return_temp,outdoor_temp,outdoor_rh,total_power,ch_kw,chwp_kw,cwp_kw,ct_kw,chwp_freq,cwp_freq,ct_freq,chw_delta_t,cooling_load_approx,system_kw_per_rt,chiller_plr
2024-07-01 09:15:00,6.921509811050924,9.196566432348735,25.89673746241312,27.742832577230953,30.205428470770176,75.40540387206093,248.75442345349663,216.54111328024865,10.11578929909528,16.148716021291506,3.9488048528612145,52.61635459230378,57.34206650200706,48.44913784553543,2.2750566212978116,9.52338701675264,26.120373247029804,0.8661644531209947
2024-07-01 09:20:00,6.996510871371357,9.339622973310686,26.582476231119905,28.42166660767861,30.475037316715905,75.20141829656771,256.9052828680884,224.44438419019565,10.3671198276482,16.113342594892345,3.980436255352207,53.0485523422594,57.30016702598285,48.578159186280224,2.3431121019393286,9.808267258718029,26.19272865344686,0.8977775367607826
2024-07-01 09:25:00,6.983466486124804,9.437948445537248,26.69875004006446,29.030375043529418,31.427993273318325,74.9254334061048,263.884417467498,231.5135225945047,9.952113747998034,16.311287542623273,4.107493582371974,52.33102899244473,57.53384806853212,49.08963396055524,2.454481959412444,10.274461482100492,25.68352783522723,0.9260540903780188
2024-07-01 09:30:00,6.92262910995084,9.023381697875164,26.426067429241904,28.384475113445955,30.414463088152033,77.19284030457372,234.6018577496467,201.67775482502716,10.550360188971124,16.17221235385602,4.201530381792401,53.35927575347649,57.36986386863253,49.46142966825606,2.1007525879243243,8.793750333051221,26.678248627084397,0.8067110193001087
2024-07-01 09:35:00,7.041456216165757,9.455283799524498,26.682124779186033,28.88371558672555,31.221448228052004,72.10582669125138,260.4977271775749,227.8706348966157,10.085856870379097,16.368106178584945,4.1731292319951585,52.564406388810845,57.60057499729229,49.34972920449519,2.4138275833587413,10.104282263939691,25.780923411773934,0.9114825395864629
2024-07-01 09:40:00,7.12384098669664,9.50682674816044,26.468272127876784,28.66881534959926,30.90743170470525,77.31938596193561,257.05651470484054,224.33713925871675,10.056547568376802,16.200961975087967,4.461865902658991,52.51343994347943,57.403839542833346,50.46260512954365,2.3829857614638,9.975178397487467,25.769615786479324,0.8973485570348669
2024-07-01 09:45:00,6.961811195722532,9.538053227347673,26.948045712236254,29.081853714138624,31.240900623870036,77.76784380167415,275.06765831032044,242.28529274384945,10.08016483552626,16.410067284258503,4.29213344668627,52.55451614548293,57.64975440631504,49.81443795509287,2.5762420316251404,10.784149144382837,25.506663031788236,0.9691411709753978
2024-07-01 09:50:00,6.958873879645884,9.9240998750871,27.175285439998795,29.56978771154487,31.94761614660332,76.34644971404958,309.9092365005198,277.49231922213426,9.985154825366422,15.988120903253291,4.443641549765852,52.388878129873184,57.15134850454406,50.39380706131341,2.965225995441216,12.41243601691693,24.967640201983237,1.109969276888537
2024-07-01 09:55:00,7.0124593613199835,9.943480728196064,27.30206125134474,29.450739564590236,31.567398701535875,76.94322346039402,306.76011984906467,273.83400520801763,9.988494765810836,16.48302378818509,4.4545960870510815,52.394718674506414,57.73506193648343,50.435183622941665,2.931021366876081,12.269255441743274,25.002341935549328,1.0953360208320706
2024-07-01 10:00:00,7.041759632654006,9.76486897112835,27.51170392486693,29.823965476159152,31.98246178170802,72.32733610870794,291.5428656686895,258.1044317810028,10.485639582390467,16.368557919764104,4.584236385532103,53.24994202924297,57.60110489594621,50.919777491352285,2.7231093384743428,11.398935690853598,25.576323402071726,1.0324177271240111
2024-07-01 10:05:00,7.009939999208212,9.710187328886487,26.756764667869657,29.418440310638527,31.131902480858415,72.98513616506371,285.7796002783741,252.65494967256444,10.140829196644832,16.422184048743823,4.561637360420974,52.65973306707169,57.6639399390963,50.83596611626368,2.700247329678275,11.30323532203326,25.28299129730648,1.0106197986902579
2024-07-01 10:10:00,7.044260030599017,9.655244002180098,27.72596167101897,30.16266923718855,31.78399553936044,74.87299586236853,278.61543614203794,244.98456226928403,10.279871866410756,16.673202623916307,4.677799382426831,52.899316969550185,57.956259759914666,51.26386660609972,2.6109839715810805,10.929578905038403,25.491872885752223,0.9799382490771361
2024-07-01 10:15:00,7.035958162134014,9.895973993735954,27.735274321956105,30.477564304966126,32.381027246671856,77.288664890987,302.1063064823955,267.95652488844536,10.288228062953626,17.178347642815,4.683205888181479,52.913646505188005,58.53574319636184,51.28360891494008,2.86001583160194,11.97202627108572,25.23435044676009,1.0718260995537814
2024-07-01 10:20:00,7.021534880240305,9.93233487983156,27.736321736507357,30.49571005892676,32.267083230065104,69.94871088769703,303.54526123604995,270.2032890232614,10.058662863436496,16.50834571340454,4.774963635947531,52.51712157914823,57.76461183247879,51.616377119761985,2.910799999591255,12.184608798288993,24.912187683750247,1.0808131560930456
2024-07-01 10:25:00,7.013073177600897,9.992572539100788,27.22289042605863,30.055088185467845,31.718186945049,72.52786469482133,306.84758087486625,273.75966863150666,9.804354914261788,16.43156126580237,4.85199606329539,52.07075068151161,57.67491339614318,51.89246597014822,2.979499361499891,12.472184327238544,24.602553395937914,1.0950386745260265
2024-07-01 10:30:00,6.911234292943379,9.820825108119609,26.83617037425218,29.734099849386126,31.33142125719003,71.84735354776586,308.3396667378602,274.20235334753943,10.633456826021677,16.7231390439036,4.78071752039553,53.498998821886595,58.01406196457663,51.63710156766985,2.9095908151762293,12.179547152327697,25.316184820462052,1.0968094133901578
2024-07-01 10:35:00,7.03636403798226,10.058762013565769,27.447999779404757,30.554513673537677,31.893128121890232,71.91511867523828,319.6929422828427,284.81709721710587,10.685524395341568,17.119219065862577,5.071101604532655,53.58617738875293,58.4685051825082,52.66211130321861,3.022397975583509,12.651757925792568,25.268657854344426,1.1392683888684234
2024-07-01 10:40:00,6.944794575916338,10.202901975993123,27.526941827263514,29.97762368030676,32.06407360076326,73.54119925600833,334.6027125558051,300.75842282913885,10.094484859189036,16.75617195509764,4.993632912379635,52.57939093116072,58.05223488060361,52.392569780099706,3.258107400076786,13.638437576721426,24.53380093383402,1.2030336913165554
2024-07-01 10:45:00,7.1060537370973655,10.25945929834087,27.050326034034793,29.898095889955687,31.51357613723713,75.16410209969506,325.8026914594068,291.76855729172456,10.215374985642464,16.773651027683112,5.045108154356601,52.7884530287386,58.072413447423216,52.57197865175033,3.1534055612435044,13.20015567936531,24.68173098660546,1.1670742291668983
2024-07-01 10:50:00,7.0283837087688,10.041119042581874,27.61852863095249,30.83505876879663,32.68693074834327,72.31837933253689,307.8528550875852,273.6857695214685,9.71581277876536,17.161709123201693,5.289563664149633,51.91352788241859,58.51683833721171,53.40772909762468,3.0127353338130742,12.611310107341529,24.410854420935397,1.094743078085874
2024-07-01 10:55:00,6.917012941187767,10.32261135102851,28.14588820102937,30.954905987159613,33.02068522957441,70.15366709757136,349.0987070162952,314.4826639375119,10.254552843107312,17.162191733520654,5.199298502155257,52.8558514424736,58.51738685610908,53.102187666576754,3.405598409840742,14.255834943593346,24.48812773138778,1.2579306557500476
2024-07-01 11:00:00,7.040955229511665,10.42328189545666,27.659997941103143,31.059294919120138,32.10119638235972,66.74015274078246,348.2710498638825,313.6973777714199,10.439205414609631,17.09146683135977,5.0429998464932035,53.17122244307016,58.43689335730958,52.56465450357962,3.382326665944994,14.158419423645746,24.598158837012605,1.2547895110856795
2024-07-01 11:05:00,6.838132760655935,10.141236300712942,27.513977820089256,30.38990063568923,32.477825323847206,71.3712949630058,339.16522807149863,304.2959183211245,10.278967978259107,17.13837584183717,5.451965930277895,52.89776648111492,58.490306226063055,53.948810519816135,3.3031035400570072,13.826791418678631,24.52956856015922,1.2171836732844978
2024-07-01 11:10:00,6.958847905613652,10.37030513830888,27.955525866138142,31.19398159108378,32.713531333229895,73.76577028267204,352.17847943091476,317.26270312124814,10.62384366213386,17.021444938032772,5.270487709500012,53.482872059213584,58.35698091369296,53.34344965612202,3.411457232695227,14.28035997606222,24.661736820448642,1.2690508124849926
2024-07-01 11:15:00,6.868256554635688,10.369847401401955,27.866151381907347,31.18075832535095,32.56044615406467,71.86140671209385,365.4509891378922,329.6079603310112,11.066929637686227,17.07359352023849,5.702505648956288,54.21630056487091,58.41651622842432,54.762853629810046,3.501590846766267,14.657659284563595,24.932424887427914,1.3184318413240448
2024-07-01 11:20:00,6.99989432769099,10.504466244858122,27.754632908642204,30.56862868199565,32.88401484059621,70.72886751851028,361.0195013898953,325.5277119456962,10.681764076544288,17.387693883266824,5.422331484388019,53.57989085431388,58.77256831731828,53.850885686238605,3.504571917167132,14.670138045261615,24.609141391583762,1.3021108477827847
2024-07-01 11:25:00,6.914885557487766,10.749116528511625,27.10068976893703,30.52507644596978,32.05429799356086,69.50589644298077,390.2406524020285,354.83445569273,10.610770585383138,17.15270134885915,5.642724775056235,53.46092542978894,58.506598511640426,54.57081651012047,3.8342309710238585,16.05009084470587,24.313921720309114,1.41933782277092
2024-07-01 11:30:00,7.041235407413318,10.54720176170186,28.18749906893717,31.35354686407207,33.07882127167757,73.7544216967772,361.7100005233329,326.12756118249786,10.822545224757372,17.109115505433184,5.650778610644487,53.81425105310872,58.45700044569539,54.59676706098461,3.5059663542885424,14.675975159051838,24.646403159127566,1.3045102447299914
2024-07-01 11:35:00,7.010527652460828,10.44268701495495,27.76745011686768,31.53844305458496,32.35772451373574,67.86081609563277,356.1980516794032,320.3777415124751,10.983094251531137,17.235072204446,5.602143710950964,54.07905171033717,58.60010263215183,54.439681759043474,3.4321593624941222,14.367019091400396,24.792759681972658,1.2815109660499004
2024-07-01 11:40:00,7.085678769882996,11.020957947287428,28.507864115492268,32.07393740499269,33.729609329859095,66.4476741969053,401.2932895299154,365.43220777912063,10.857921955799824,17.228123006390508,5.775036788604459,53.87282327911443,58.59222570039903,54.99405550208312,3.935279177404432,16.473078636614954,24.36055204871996,1.4617288311164824
2024-07-01 11:45:00,7.09529456423836,11.463610004605457,27.99728096953249,31.250154230091507,32.96876129430826,68.37712778620302,440.1867763200055,404.35084217994256,10.798429338808967,17.37362278661297,5.663882014641059,53.77424988099558,58.75671001970608,54.638935363859574,4.3683154403670965,18.285768433376667,24.072643046082817,1.6174033687197702
2024-07-01 11:50:00,6.834900053236863,10.4494483160847,27.714340698753933,31.2876739940105,32.50684489787781,71.61782819600046,372.85772959290694,336.3779369587195,11.017502174300857,17.63595538181051,5.826335078076107,54.13546593038759,59.05096575480014,55.15640880544048,3.614548262847837,15.130499028281045,24.6427912850715,1.345511747834878
2024-07-01 11:55:00,6.846187416905775,10.685644938603838,28.177358982364066,31.736403713123373,33.06239225826562,70.17052849599749,391.4102398414587,355.7680515957095,10.9181389156789,16.96041494656779,5.763634383502513,53.97223085103302,58.28715152790774,54.95783768659083,3.839457521698063,16.07196918582809,24.353595711631627,1.423072206382838
